Date,Open,High,Low,Close,
12/30/2021,47233,47893,46019,47239,
12/29/2021,47586,48152,46664,47210,
12/28/2021,50990,51228,47330,47586,
12/27/2021,50802,51976,50487,50996,
12/26/2021,51003,51003,49568,50802,
12/25/2021,50898,51144,50220,51001,
12/24/2021,50849,51836,50513,50898,
12/23/2021,49082,51364,48077,50843,
12/22/2021,49103,49557,48477,49082,
12/21/2021,47013,49318,46676,49059,
12/20/2021,46741,47524,45581,47013,
12/19/2021,46941,48285,46468,46741,
12/18/2021,46946,47335,45557,46941,
12/17/2021,48139,48163,45539,46946,
12/16/2021,49221,49398,47715,48139,
12/15/2021,48280,49495,46631,49221,
12/14/2021,46892,48639,46378,48280,
12/13/2021,49981,50380,45871,46892,
12/12/2021,48847,50767,48672,49981,
12/11/2021,47984,49285,46880,48847,
12/10/2021,47996,49982,47355,47984,
12/9/2021,50634,50851,47377,47996,
12/8/2021,50500,51182,48750,50634,
12/7/2021,50126,51942,50126,50500,
12/6/2021,49275,50426,47290,50007,
12/5/2021,48770,49746,47892,49275,
12/4/2021,53648,53874,42169,48745,
12/3/2021,56904,57464,52653,53672,
12/2/2021,57026,57362,55859,56904,
12/1/2021,57144,59093,56547,57026,
11/30/2021,58266,59146,55932,57144,
11/29/2021,56281,58878,56104,58266,
11/28/2021,54601,56402,53578,56281,
11/27/2021,54101,55339,53605,54601,
11/26/2021,58834,59342,53577,54101,
11/25/2021,57334,59399,56918,58834,
11/24/2021,57696,57755,55928,57334,
11/23/2021,56278,57847,55537,57696,
11/22/2021,59568,59574,55706,56278,
11/21/2021,59682,60044,58630,59568,
11/20/2021,57924,59725,57570,59682,
11/19/2021,57606,58396,55688,57924,
11/18/2021,60101,60956,56777,57583,
11/17/2021,60509,61067,58567,60101,
11/16/2021,63864,64015,58870,60557,
11/15/2021,64361,66311,63659,63864,
11/14/2021,64317,65297,63673,64373,
11/13/2021,64130,64941,63412,64317,
11/12/2021,65030,65459,62334,64072,
11/11/2021,64193,65597,63984,65030,
11/10/2021,67802,68925,63052,64387,
11/9/2021,66143,68494,66112,67802,
11/8/2021,62862,66504,62817,66175,
11/7/2021,61226,63058,61226,62862,
11/6/2021,60966,61594,60184,61223,
11/5/2021,61364,62571,60791,60966,
11/4/2021,62769,63211,60776,61378,
11/3/2021,63140,63543,61029,62769,
11/2/2021,60652,64243,60460,63140,
11/1/2021,60968,62466,59716,60652,
10/31/2021,61698,62400,60058,60968,
10/30/2021,62420,62490,60876,61705,
10/29/2021,61398,62943,60315,62420,
10/28/2021,58957,62321,57964,61465,
10/27/2021,62095,62095,58153,58957,
10/26/2021,62546,63272,61863,62068,
10/25/2021,61153,63688,60654,62546,
10/24/2021,61087,61451,59571,61124,
10/23/2021,60728,61716,59764,61087,
10/22/2021,62707,63694,60100,60752,
10/21/2021,65980,66612,62368,62707,
10/20/2021,64120,66923,63594,65971,
10/19/2021,61369,64322,61139,64120,
10/18/2021,59472,62626,59395,61445,
10/17/2021,61013,61408,59071,59472,
10/16/2021,62496,62526,60184,61024,
