Date,Price,Open,High,Low,Vol.,Change %
7-Dec-21,"28,492.50",28175,"28,510.50","27,955.00",-,2.02%
6-Dec-21,"27,927.37",28069.96,"28,081.04","27,693.91",616.86M,-0.36%
3-Dec-21,"28,029.57",27841.05,"28,029.57","27,588.61",719.09M,1.00%
2-Dec-21,"27,753.37",27716.2,"27,938.55","27,644.96",774.20M,-0.65%
1-Dec-21,"27,935.62",27866.73,"28,106.30","27,594.01",808.76M,0.41%
30-Nov-21,"27,821.76",28611.73,"28,718.70","27,819.14",1.41B,-1.63%
29-Nov-21,"28,283.92",28337.96,"28,776.34","28,187.12",859.12M,-1.63%
26-Nov-21,"28,751.62",29324.47,"29,332.99","28,605.61",728.75M,-2.53%
25-Nov-21,"29,499.28",29469.65,"29,570.42","29,444.45",507.12M,0.67%
24-Nov-21,"29,302.66",29663.45,"29,758.05","29,212.93",695.30M,-1.58%
22-Nov-21,"29,774.11",29618.55,"29,806.49","29,542.29",587.71M,0.09%
19-Nov-21,"29,745.87",29641.05,"29,768.54","29,589.19",655.73M,0.50%
18-Nov-21,"29,598.66",29597.93,"29,715.95","29,402.57",654.09M,-0.30%
17-Nov-21,"29,688.33",29906.68,"29,909.97","29,623.79",639.04M,-0.40%
16-Nov-21,"29,808.12",29749.71,"29,960.93","29,681.25",619.85M,0.11%
15-Nov-21,"29,776.80",29807.37,"29,861.88","29,718.21",604.25M,0.56%
12-Nov-21,"29,609.97",29381.45,"29,661.22","29,381.45",684.04M,1.13%
11-Nov-21,"29,277.86",29046.19,"29,336.03","29,040.08",605.68M,0.59%
10-Nov-21,"29,106.78",29209.06,"29,296.88","29,079.77",638.90M,-0.61%
9-Nov-21,"29,285.46",29557.55,"29,750.46","29,240.31",650.45M,-0.75%
8-Nov-21,"29,507.05",29735.45,"29,735.45","29,507.05",683.47M,-0.35%
5-Nov-21,"29,611.57",29840.73,"29,840.73","29,504.07",735.08M,-0.61%
4-Nov-21,"29,794.37",29859.74,"29,880.81","29,718.78",904.00M,0.93%
2-Nov-21,"29,520.90",29462.4,"29,599.57","29,457.18",711.16M,-0.43%
1-Nov-21,"29,647.08",29330.68,"29,666.83","29,267.63",767.31M,2.61%
29-Oct-21,"28,892.69",28819.16,"29,000.65","28,475.06",1.04B,0.25%
28-Oct-21,"28,820.09",28871.61,"28,895.11","28,693.06",1.43B,-0.96%
27-Oct-21,"29,098.24",29056.01,"29,139.22","28,870.25",705.99M,-0.03%
26-Oct-21,"29,106.01",28927.61,"29,160.76","28,893.95",727.76M,1.77%
25-Oct-21,"28,600.41",28527.13,"28,668.70","28,472.55",626.68M,-0.71%
22-Oct-21,"28,804.85",28578.53,"28,989.50","28,546.57",602.06M,0.34%
21-Oct-21,"28,708.58",29152.74,"29,220.82","28,688.78",591.46M,-1.87%
20-Oct-21,"29,255.55",29385.95,"29,489.11","29,222.32",661.08M,0.14%
19-Oct-21,"29,215.52",29117.28,"29,272.49","29,075.37",576.45M,0.65%
18-Oct-21,"29,025.46",29093.82,"29,144.33","28,924.40",625.65M,-0.15%
15-Oct-21,"29,068.63",28787.26,"29,082.35","28,726.22",663.48M,1.81%
14-Oct-21,"28,550.93",28264.41,"28,576.68","28,234.01",647.53M,1.46%
13-Oct-21,"28,140.28",28085.44,"28,364.99","27,993.46",639.33M,-0.32%
12-Oct-21,"28,230.61",28458.88,"28,468.88","28,166.38",663.19M,-0.94%
11-Oct-21,"28,498.20",27977.57,"28,581.36","27,893.32",722.98M,1.60%
8-Oct-21,"28,048.94",28031.37,"28,321.35","28,018.89",826.66M,1.34%
7-Oct-21,"27,678.21",27665.97,"28,015.11","27,607.97",795.51M,0.54%
6-Oct-21,"27,528.87",28033.91,"28,209.82","27,293.62",1.00B,-1.05%
5-Oct-21,"27,822.12",28050.39,"28,058.67","27,460.29",881.94M,-2.19%
4-Oct-21,"28,444.89",29044.47,"29,046.06","28,343.58",764.01M,-1.13%
1-Oct-21,"28,771.07",29235.11,"29,393.67","28,680.73",821.61M,-2.31%
30-Sep-21,"29,452.66",29569.19,"29,622.27","29,311.34",990.27M,-0.31%
29-Sep-21,"29,544.29",29611.92,"29,679.26","29,329.16",946.52M,-2.12%
