Date,Open,High,Low,Close,Volume
1/2/1998,20.72,20.78,20.19,20.38,646600
1/5/1998,20.28,20.6,19.82,20,985400
1/6/1998,19.75,19.85,19.07,19.38,2035500
1/7/1998,19.25,19.5,19.1,19.5,1680800
1/8/1998,19.5,19.5,19.1,19.25,1141700
1/9/1998,19.38,19.75,19.22,19.66,1329700
1/12/1998,19.63,19.88,19.44,19.69,1298000
1/13/1998,19.63,20.35,19.63,20.25,1178800
1/14/1998,20.25,20.5,19.88,19.91,980100
1/15/1998,20,20.03,19.88,19.91,980100
1/16/1998,20,20.38,20,20.07,1330400
1/20/1998,20.35,21.19,20.22,21.03,1931500
1/21/1998,20.91,21.19,20.63,21.13,1292500
1/22/1998,21,21.47,21,21.32,2221200
1/23/1998,21.32,21.5,20.75,20.82,1527200
1/26/1998,20.75,20.94,20,20.1,1957900
1/27/1998,20.25,20.69,20.22,20.57,1650500
1/28/1998,20.69,20.69,20.41,20.47,793299
1/29/1998,20.25,20.6,20.19,20.41,1238400
1/30/1998,20.5,20.94,20.47,20.72,1048700
2/2/1998,20.91,21.28,20.88,21,1312900
2/3/1998,20.97,21.38,20.97,21.22,1171700
2/4/1998,21.22,21.28,21.13,21.22,884100
2/5/1998,21.25,21.38,21,21.16,896400
2/6/1998,21.16,21.16,20.82,20.91,481300
2/9/1998,20.97,21.07,20.75,20.97,604700
2/10/1998,20.97,21.38,20.91,21.22,1093100
2/11/1998,21.22,21.25,20.88,21,822400
2/12/1998,20.91,21.66,20.85,21.63,978200
2/13/1998,21.44,21.69,21.35,21.66,573500
2/17/1998,21.72,22.07,21.6,21.97,1301600
2/18/1998,21.97,22.25,21.91,22.25,1425400
2/19/1998,22.19,22.88,22.19,22.82,2735700
2/20/1998,22.75,23.03,22.5,22.82,1171200
2/23/1998,22.69,22.75,22.28,22.5,985200
2/24/1998,22.32,22.47,22,22.19,1364500
2/25/1998,22.32,23.19,22.25,23.19,2209300
2/26/1998,23.07,23.82,23.07,23.47,2411600
2/27/1998,23.28,23.57,23,23.5,861900
3/2/1998,23.19,23.47,23.13,23.44,602300
3/3/1998,23.44,23.6,23.32,23.44,688600
3/4/1998,23.22,23.6,23.19,23.38,658100
3/5/1998,23.07,23.63,23.07,23.6,837900
3/6/1998,23.47,24,23.41,23.85,1048200
3/9/1998,23.66,23.94,23.63,23.82,668300
3/10/1998,23.91,23.97,23.78,23.88,877800
3/11/1998,23.6,23.85,23.6,23.75,712600
3/12/1998,23.57,23.85,23.5,23.82,684400
3/13/1998,23.72,23.72,23.22,23.41,1061600
3/16/1998,23.41,23.47,22.82,23,766500
3/17/1998,23,23.16,22.82,22.94,477100
3/18/1998,23.1,23.5,22.97,23.44,934500
3/19/1998,23.35,23.57,23.32,23.47,356700
3/20/1998,23.6,23.69,23.32,23.47,356700
3/23/1998,23.5,23.94,23.5,23.75,938200
3/24/1998,23.88,23.97,23.63,23.69,820900
3/25/1998,23.72,23.82,23.47,23.63,561800
3/26/1998,23.5,23.69,23.32,23.35,666100
3/27/1998,23.47,23.5,23.03,23.13,499700
3/30/1998,23,23.19,22.75,23,79600
3/31/1998,23.1,23.44,22.94,23.19,551600
4/1/1998,23.07,23.22,22.97,23.19,494000
4/2/1998,23.19,23.63,23.13,23.41,1017300
4/3/1998,23.41,23.6,23.32,23.47,568900
4/6/1998,23.63,23.69,23.19,23.19,746900
4/7/1998,23.32,23.47,23.22,23.41,429600
